image_path,detected_objects,max_confidence,image_category
data/raw/images/lobelia4cosmetics/21952.jpg,bottle,0.7200613617897034,product_listing
data/raw/images/lobelia4cosmetics/21953.jpg,bottle,0.69941645860672,product_listing
data/raw/images/lobelia4cosmetics/21954.jpg,bottle,0.6595379710197449,product_listing
data/raw/images/lobelia4cosmetics/21955.jpg,bottle,0.501645565032959,product_listing
data/raw/images/lobelia4cosmetics/21956.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21957.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21958.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21959.jpg,bottle,0.7241219878196716,product_listing
data/raw/images/lobelia4cosmetics/21960.jpg,bottle,0.5719438195228577,product_listing
data/raw/images/lobelia4cosmetics/21961.jpg,bottle,0.9162958860397339,product_listing
data/raw/images/lobelia4cosmetics/21962.jpg,cell phone,0.6242877244949341,product_listing
data/raw/images/lobelia4cosmetics/21963.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21964.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21965.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21966.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21967.jpg,bottle,0.7326316237449646,product_listing
data/raw/images/lobelia4cosmetics/21968.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21969.jpg,person,0.7900387644767761,lifestyle_shot
data/raw/images/lobelia4cosmetics/21970.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21971.jpg,"person, refrigerator",0.8406544327735901,lifestyle_shot
data/raw/images/lobelia4cosmetics/21972.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21973.jpg,bottle,0.8006813526153564,product_listing
data/raw/images/lobelia4cosmetics/21974.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21975.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21976.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21977.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21978.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21979.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21980.jpg,person,0.624140202999115,lifestyle_shot
data/raw/images/lobelia4cosmetics/21981.jpg,person,0.6789193153381348,lifestyle_shot
data/raw/images/lobelia4cosmetics/21982.jpg,bottle,0.8308451175689697,product_listing
data/raw/images/lobelia4cosmetics/21983.jpg,bottle,0.7326316237449646,product_listing
data/raw/images/lobelia4cosmetics/21984.jpg,person,0.7900387644767761,lifestyle_shot
data/raw/images/lobelia4cosmetics/21985.jpg,"person, refrigerator",0.8406544327735901,lifestyle_shot
